source,speaker,token,syllable,vowel,onset,offset,srate,TM_ms,TD_ms,TM,TD,DeltaHeightMax,LaLagTM,LaLagTD
2015_06_16_21_F_04_1_004_sync,F04,tab.l,onset,ae,11.21861718,11.49066501,100,1140,1138,11,11,24,-126,-126
2015_06_16_21_F_04_1_004_sync,F04,til.b,coda,ih,13.38262457,13.60404315,100,1353,1345,14,13,10,35,35
2015_06_16_21_F_04_1_004_sync,F04,tal.b,coda,ae,23.45032948,23.68659931,100,2357,2359,24,24,14,96,96
2015_06_16_21_F_04_1_004_sync,F04,il.b,coda,ih,25.40768666,25.65171964,100,2555,2555,26,26,26,-4,-4
2015_06_16_21_F_04_1_004_sync,F04,al.b,coda,ae,27.37762116,27.64224336,100,2751,2754,28,28,23,45,45
2015_06_16_21_F_04_1_004_sync,F04,tib.l,onset,ih,29.40577655,29.64069626,100,2959,2957,30,30,24,56,56
2015_06_16_21_F_04_1_004_sync,F04,cab.l,onset,ae,33.49297423,33.79674971,100,3376,3374,34,34,29,48,47
2015_06_16_21_F_04_1_004_sync,F04,tib.l,onset,ih,35.68702784,35.94489948,100,3587,3586,36,36,10,259,259
2015_06_16_21_F_04_1_004_sync,F04,til.b,coda,ih,37.77788055,37.98849822,100,3794,3793,38,38,21,169,169
2015_06_16_21_F_04_1_004_sync,F04,tal.b,coda,ae,40.55814381,40.80521454,100,4068,4072,41,41,15,257,257
2015_06_16_21_F_04_1_005_sync,F04,kil.b,coda,ih,5.202325625,5.422394089,100,533,533,5,5,24,-187,-187
2015_06_16_21_F_04_1_005_sync,F04,il.b,coda,ih,7.161535921,7.432908689,100,729,728,7,7,28,-207,-207
2015_06_16_21_F_04_1_005_sync,F04,tal.b,coda,ae,11.19607876,11.46205108,100,1130,1136,11,11,9,23,24
2015_06_16_21_F_04_1_005_sync,F04,tab.l,onset,ae,15.13670593,15.40132813,100,1533,1534,15,15,9,63,63
2015_06_16_21_F_04_1_005_sync,F04,cab.l,onset,ae,19.06420458,19.3160007,100,1930,1928,19,19,10,93,93
2015_06_16_21_F_04_1_005_sync,F04,tib.l,onset,ih,21.07438784,21.30255698,100,2124,2122,21,21,28,-68,-68
2015_06_16_21_F_04_1_005_sync,F04,til.b,coda,ih,27.44685402,27.66574416,100,2757,2756,28,28,12,156,156
2015_06_16_21_F_04_1_005_sync,F04,tib.l,onset,ih,35.66141406,35.89835894,100,3585,3577,36,36,31,49,48
2015_06_16_21_F_04_1_005_sync,F04,al.b,coda,ae,37.45304459,37.73116792,100,3762,3763,38,38,21,166,166
2015_06_16_21_F_04_1_006_sync,F04,til.b,coda,ih,2.595992791,2.801210009,100,269,268,3,3,20,-173,-173
2015_06_16_21_F_04_1_006_sync,F04,il.b,coda,ih,6.508338268,6.782411263,100,663,662,7,7,24,-174,-174
2015_06_16_21_F_04_1_006_sync,F04,tib.l,onset,ih,8.422491854,8.625008845,100,857,852,9,9,17,-84,-85
2015_06_16_21_F_04_1_006_sync,F04,cab.l,onset,ae,10.44458367,10.70110519,100,1060,1064,11,11,24,-134,-134
2015_06_16_21_F_04_1_006_sync,F04,cab.l,onset,ae,11.07478709,11.32803693,100,1127,1126,11,11,23,-117,-117
2015_06_16_21_F_04_1_006_sync,F04,al.b,coda,ae,12.92772706,13.17884813,100,1302,1307,13,13,16,-30,-29
2015_06_16_21_F_04_1_006_sync,F04,kil.b,coda,ih,14.93023017,15.13004693,100,1504,1504,15,15,23,-80,-80
2015_06_16_21_F_04_1_006_sync,F04,tab.l,onset,ae,24.55602093,24.81659279,100,2475,2474,25,25,30,-53,-53
2015_06_16_21_F_04_1_006_sync,F04,kib.l,onset,ih,34.57528703,34.76970334,100,3474,3473,35,35,8,267,267
2015_06_16_21_F_04_1_006_sync,F04,cal.b,coda,ae,36.58167471,36.86384838,100,3673,3678,37,37,19,177,178
