source,speaker,srate,token,syllable,vowel,onset,offset,DeltaHeightMin,DeltaHeightMax,LaDuration_v1,LaDuration,comments,,
2015_06_16_21_F_04_1_006_sync,F04,100,cal.b,coda,ae,36.58167471,36.86384838,1,19,180,180,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tab.l,onset,ae,4.340852367,4.605474568,1,11,100,100,,,
2015_06_16_21_F_04_1_007_sync,F04,100,kib.l,onset,ih,8.103169112,8.30028565,8,19,110,110,,,
2015_06_16_21_F_04_1_007_sync,F04,100,cal.b,coda,ae,13.80435067,14.06081518,1,19,180,180,,,
2015_06_16_21_F_04_1_007_sync,F04,100,kil.b,coda,ih,15.56839754,15.80331725,1,15,140,140,,,
2015_06_16_21_F_04_1_007_sync,F04,100,cab.l,onset,ae,17.80996536,18.09078892,9,18,90,90,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tal.b,coda,ae,23.42956488,23.66178436,28,43,150,150,,,
2015_06_16_21_F_04_1_007_sync,F04,100,al.b,coda,ae,25.42641875,25.71804322,6,19,130,130,,,
2015_06_16_21_F_04_1_007_sync,F04,100,il.b,coda,ih,33.0094094,33.23420326,7,19,120,120,,,
2015_06_16_21_F_04_1_007_sync,F04,100,tib.l,onset,ih,35.03874868,35.26016726,13,25,120,120,,,
2015_06_16_21_F_04_1_008_sync,F04,100,cal.b,coda,ae,4.096564701,4.354436336,1,16,150,150,,,
2015_06_16_21_F_04_1_008_sync,F04,100,il.b,coda,ih,7.920062918,8.18468512,1,16,150,150,,,
2015_06_16_21_F_04_1_008_sync,F04,100,al.b,coda,ae,9.875903909,10.15672747,1,11,100,100,,,
2015_06_16_21_F_04_1_008_sync,F04,100,tal.b,coda,ae,11.87587203,12.15129514,5,17,120,120,,,
2015_06_16_21_F_04_1_008_sync,F04,100,kib.l,onset,ih,15.9245077,16.15942741,3,11,80,80,,,
2015_06_16_21_F_04_1_008_sync,F04,100,tib.l,onset,ih,17.89747372,18.13509366,1,15,140,140,,,
